kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius senator,"Lanius senator Linnaeus, 1758",36.154966,4.38527,2025-03-25,March,2025
Animalia,Arthropoda,Insecta,Odonata,Platycnemididae,Platycnemis,Platycnemis subdilatata,"Platycnemis subdilatata Selys, 1849",35.305812,-0.093992,2025-08-08,August,2025
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene tridentata,Silene tridentata Desf.,36.21341,6.581028,2025-03-10,March,2025
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium onopteris,Asplenium onopteris L.,36.757031,4.419466,2025-02-14,February,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya nyroca,"Aythya nyroca (Güldenstädt, 1770)",36.193209,4.744497,2025-01-21,January,2025
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,"Lepus capensis Linnaeus, 1758",35.305812,-0.093992,2025-09-12,September,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,"Ardea ibis Linnaeus, 1758",35.305812,-0.093992,2025-07-06,July,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum fonscolombii,"Sympetrum fonscolombii (Selys, 1840)",36.747641,2.968365,2025-08-27,August,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",35.305812,-0.093992,2025-09-10,September,2025
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,"Coccinella septempunctata Linnaeus, 1758",35.493559,-1.220921,2025-04-23,April,2025
Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis pes-caprae,Oxalis pes-caprae L.,35.283757,-0.784299,2025-03-02,March,2025
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupaster,"Canis lupaster Hemprich & Ehrenberg, 1833",35.305812,-0.093992,2025-05-24,May,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus,"Circus aeruginosus (Linnaeus, 1758)",36.131948,4.67375,2025-01-21,January,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago lagopus,Plantago lagopus L.,36.244755,6.533187,2025-03-20,March,2025
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,Polypodium cambricum,Polypodium cambricum L.,36.760289,5.105521,2025-04-05,April,2025
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus moussieri,"Phoenicurus moussieri (Olphe-Galliard, 1852)",36.540066,6.612895,2025-04-30,April,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Chrysididae,Chrysis,Chrysis basalis,"Chrysis basalis Dahlbom, 1854",36.339027,4.466694,2025-03-31,March,2025
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium trichomanes,Asplenium trichomanes L.,36.574771,4.53564,2025-09-15,September,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium cingulatum,"Anthidium cingulatum Latreille, 1809",36.747645,2.96986,2025-09-10,September,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula clypeata,"Spatula clypeata (Linnaeus, 1758)",36.74833,2.970737,2025-01-21,January,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Misopates,Misopates orontium,Misopates orontium (L.) Raf.,35.274945,-0.252389,2025-04-20,April,2025
Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicada,Cicada barbara,"Cicada barbara (Stål, 1866)",36.675832,4.04699,2025-07-29,July,2025
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia opaca,"Protaetia opaca (Fabricius, 1787)",36.755342,2.906889,2025-07-17,July,2025
Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes ichneumon,"Herpestes ichneumon (Linnaeus, 1758)",36.460458,4.678675,2025-03-27,March,2025
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Saponaria,Saponaria sicula,Saponaria sicula Raf.,36.468432,4.182826,2025-07-29,July,2025
Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra alata,Ephedra alata subsp. alenda (Stapf) Trab.,31.190885,6.790896,2025-06-29,June,2025
Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,"Gallinula chloropus (Linnaeus, 1758)",36.770046,3.335671,2025-01-11,January,2025
Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica mauritanica,"Pica mauritanica Malherbe, 1845",36.269165,4.846564,2025-01-20,January,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,"Accipiter nisus (Linnaeus, 1758)",36.269165,4.846564,2025-01-20,January,2025
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga carpetana,Saxifraga carpetana Boiss. & Reut.,36.412572,6.619349,2025-03-11,March,2025
Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,"Turdus merula Linnaeus, 1758",36.319315,4.836773,2025-03-22,March,2025
Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,Periparus ater,"Periparus ater ledouci (Malherbe, 1845)",36.269165,4.846564,2025-02-18,February,2025
Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,Ficus carica L.,36.377587,6.469943,2025-05-09,May,2025
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,"Corvus corax Linnaeus, 1758",36.725003,2.991381,2025-08-01,August,2025
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe hispanica,"Oenanthe hispanica (Linnaeus, 1758)",35.305812,-0.093992,2025-06-19,June,2025
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia falcata,Euphorbia falcata L.,34.692406,3.169804,2025-05-09,May,2025
Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemera,Oedemera barbara,"Oedemera barbara (Fabricius, 1792)",36.280898,4.570891,2025-05-04,May,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cornifrons,Cornifrons ulceratalis,"Cornifrons ulceratalis Lederer, 1858",36.403925,4.080289,2025-04-04,April,2025
Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta ledanti,"Sitta ledanti Vielliard, 1976",36.574516,5.535338,2025-08-03,August,2025
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus,"Acrocephalus scirpaceus (Hermann, 1804)",35.305812,-0.093992,2025-07-12,July,2025
Animalia,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Leonia,Leonia mammillaris,"Leonia mammillaris (Lamarck, 1822)",35.676831,-1.02015,2025-07-25,July,2025
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pardoglossum,Pardoglossum lanatum,Solenanthus lanatus (L.) Murb.,35.276064,-0.795665,2025-03-27,March,2025
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pugnax,"Calidris pugnax (Linnaeus, 1758)",36.771716,3.335114,2025-01-31,January,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,"Vanessa cardui (Linnaeus, 1758)",36.660504,4.614048,2025-06-01,June,2025
Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer hispaniolensis,"Passer hispaniolensis (Temminck, 1820)",35.860365,0.757118,2025-02-28,February,2025
Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops apiaster,"Merops apiaster Linnaeus, 1758",35.305812,-0.093992,2025-07-25,July,2025
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Anthaxia,Anthaxia salicis,"Anthaxia croesa (Villers, 1789)",36.749714,5.036115,2025-05-13,May,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus clymenum,Lathyrus clymenum L.,36.288434,4.488002,2025-05-05,May,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Marrubium,Marrubium vulgare,Marrubium vulgare L.,36.351271,6.668521,2025-04-25,April,2025
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",36.129249,5.077551,2025-06-08,June,2025
Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Eurydema,Eurydema ornata,"Eurydema ornata (Linnaeus, 1758)",36.747788,2.970729,2025-03-13,March,2025
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Neatostema,Neatostema apulum,Neatostema apulum (L.) I.M.Johnst.,34.662036,-0.264064,2025-04-03,April,2025
Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicada,Cicada barbara,"Cicada barbara (Stål, 1866)",36.725203,2.991976,2025-09-12,September,2025
Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus fuscus,"Larus fuscus Linnaeus, 1758",36.805081,2.893922,2025-10-17,October,2025
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Stenopogon,Stenopogon heteroneurus,"Stenopogon heteroneurus (Macquart, 1838)",36.747615,2.969521,2025-06-30,June,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys ocymastrum,Stachys ocymastrum (L.) Briq.,36.747887,2.971626,2025-06-03,June,2025
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Ammomanes,Ammomanes deserti,"Ammomanes deserti (Lichtenstein, 1823)",34.670396,3.250376,2025-01-24,January,2025
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax saharicus,"Pelophylax saharicus (Boulenger, 1913)",36.736742,4.523725,2025-07-01,July,2025
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe leucura,"Oenanthe leucura (Gmelin, 1789)",36.338938,4.466761,2025-04-01,April,2025
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus spicatus,Ranunculus spicatus subsp. blepharicarpos (Boiss.) Grau,36.646961,4.575103,2025-04-11,April,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,"Bombus terrestris (Linnaeus, 1758)",36.131948,4.67375,2025-04-26,April,2025
Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus,"Phoenicopterus roseus Pallas, 1811",35.289686,-0.597901,2025-04-02,April,2025
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Deraeocoris,Deraeocoris punctum,"Deraeocoris punctum (Rambur, 1839)",35.921778,4.376913,2025-05-26,May,2025
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Curruca,Curruca melanocephala,"Curruca melanocephala (J.F.Gmelin, 1789)",36.324994,4.928728,2025-03-22,March,2025
Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Glycaspis,Glycaspis brimblecombei,"Glycaspis brimblecombei Moore, 1964",36.382731,6.733251,2025-03-11,March,2025
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,"Emberiza schoeniclus (Linnaeus, 1758)",36.773778,3.335114,2025-01-11,January,2025
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,"Parus major Linnaeus, 1758",36.562104,6.438779,2025-04-11,April,2025
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",36.129249,5.077551,2025-06-03,June,2025
Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium dissectum,Geranium dissectum L.,36.70019,4.049607,2025-01-27,January,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Asphodelus,Asphodelus ramosus,Asphodelus ramosus L.,36.41724,6.634092,2025-03-11,March,2025
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",36.129249,5.077551,2025-06-05,June,2025
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lomelosia,Lomelosia simplex,Lomelosia simplex (Desf.) Raf.,36.655007,3.751159,2025-05-29,May,2025
Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,"Gallinula chloropus (Linnaeus, 1758)",35.305812,-0.093992,2025-09-21,September,2025
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cia,"Emberiza cia Linnaeus, 1767",36.269165,4.846564,2025-01-20,January,2025
Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,"Cornu aspersum (O.F.Müller, 1774)",36.731366,5.076027,2025-01-04,January,2025
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupaster,"Canis lupaster Hemprich & Ehrenberg, 1833",35.305812,-0.093992,2025-07-29,July,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus,"Circus aeruginosus (Linnaeus, 1758)",36.131948,4.67375,2025-01-08,January,2025
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Suaeda,Suaeda vera,Suaeda vera Forssk. ex J.F.Gmel.,35.671963,-1.025074,2025-07-25,July,2025
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus bonelli,"Phylloscopus bonelli (Vieillot, 1819)",36.324994,4.928728,2025-04-10,April,2025
Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus pseudococcifera,Quercus pseudococcifera Desf.,36.754892,2.909848,2025-06-08,June,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,"Vanessa cardui (Linnaeus, 1758)",36.403925,4.080289,2025-04-04,April,2025
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa glareola,"Tringa glareola Linnaeus, 1758",35.704449,2.816948,2025-01-24,January,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Anthyllis,Anthyllis vulneraria,Anthyllis vulneraria L.,36.290213,4.501887,2025-04-15,April,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla spodiogenys,"Fringilla spodiogenys africana J.Levaillant, 1850",36.319315,4.836773,2025-03-22,March,2025
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrotylus,Acrotylus insubricus,"Acrotylus insubricus (Scopoli, 1786)",36.524655,4.713722,2025-01-27,January,2025
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Curruca,Curruca melanocephala,"Curruca melanocephala (J.F.Gmelin, 1789)",35.305812,-0.093992,2025-09-25,September,2025
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,"Emberiza calandra Linnaeus, 1758",36.131948,4.67375,2025-04-26,April,2025
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Anacridium,Anacridium aegyptium,"Anacridium aegyptium (Linnaeus, 1764)",36.788683,4.725218,2025-04-02,April,2025
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cia,"Emberiza cia Linnaeus, 1767",36.463162,4.189779,2025-07-27,July,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,"Pieris rapae (Linnaeus, 1758)",35.305812,-0.093992,2025-06-12,June,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Anarrhinum,Anarrhinum fruticosum,Anarrhinum fruticosum Desf.,34.663921,-0.266625,2025-05-24,May,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Calendula,Calendula arvensis,Calendula arvensis L.,36.23162,5.749601,2025-02-11,February,2025
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe leucura,"Oenanthe leucura (Gmelin, 1789)",35.305812,-0.093992,2025-04-26,April,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Koelpinia,Koelpinia linearis,Koelpinia linearis Pall.,34.67981,3.128407,2025-04-17,April,2025
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",36.129249,5.077551,2025-06-03,June,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Chloris chloris,"Chloris chloris (Linnaeus, 1758)",36.319315,4.836773,2025-03-22,March,2025
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Thapsia,Thapsia garganica,Thapsia garganica L.,36.244888,6.53221,2025-03-19,March,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,Ophrys apifera,Ophrys apifera Huds.,36.64867,4.521622,2025-05-01,May,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Doronicum,Doronicum plantagineum,Doronicum plantagineum L.,36.465399,4.181473,2025-05-09,May,2025
Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus pallidus,"Apus pallidus (Shelley, 1870)",36.129249,5.077551,2025-06-03,June,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto,"Streptopelia decaocto (Frivaldszky, 1838)",35.305812,-0.093992,2025-09-29,September,2025
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris barbara,"Alectoris barbara (Bonnaterre, 1790)",36.463162,4.189779,2025-07-31,July,2025
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,"Falco tinnunculus Linnaeus, 1758",35.305812,-0.093992,2025-06-06,June,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla spodiogenys,"Fringilla spodiogenys Bonaparte, 1841",36.441583,4.008192,2025-08-04,August,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,"Anas platyrhynchos Linnaeus, 1758",35.704449,2.843727,2025-01-24,January,2025
Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles rufescens,"Loxosceles rufescens (Dufour, 1820)",36.718281,2.955842,2025-05-07,May,2025
Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rotundifolia,Quercus rotundifolia Lam.,36.505242,4.762345,2025-08-06,August,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,"Pararge aegeria (Linnaeus, 1758)",36.463162,4.189779,2025-06-02,June,2025
Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus pallidus,"Apus pallidus (Shelley, 1870)",36.131948,4.67375,2025-08-09,August,2025
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris minuta,"Calidris minuta (Leisler, 1812)",35.305812,-0.093992,2025-08-15,August,2025
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,Ricinus communis L.,36.80122,5.679344,2025-06-15,June,2025
Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Euryphara,Euryphara cantans,"Euryphara cantans (Fabricius, 1794)",36.276909,6.5812,2025-05-04,May,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Limbarda,Limbarda crithmoides,Limbarda crithmoides (L.) Dumort,35.297394,-1.472928,2025-10-03,October,2025
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca sylvanus,"Macaca sylvanus (Linnaeus, 1758)",36.412981,4.060894,2025-05-10,May,2025
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Clogmia,Clogmia albipunctatus,"Clogmia albipunctatus (Williston, 1893)",36.718499,5.041952,2025-10-15,October,2025
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Adonis,Adonis annua,Adonis annua L.,36.509568,6.298644,2025-03-17,March,2025
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Matthiola,Matthiola fruticulosa,Matthiola fruticulosa (L.) Maire,36.234678,6.475765,2025-03-10,March,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya ferina,"Aythya ferina (Linnaeus, 1758)",36.131948,4.67375,2025-01-21,January,2025
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus bonelli,"Phylloscopus bonelli (Vieillot, 1819)",36.269165,4.846564,2025-05-09,May,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Muscari,Muscari comosum,Muscari comosum (L.) Mill.,36.710433,2.960189,2025-04-07,April,2025
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Centranthus,Centranthus ruber,Centranthus ruber (L.) DC.,36.769596,5.107635,2025-06-19,June,2025
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",36.129249,5.077551,2025-06-08,June,2025
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus bonelli,"Phylloscopus bonelli (Vieillot, 1819)",36.269165,4.846564,2025-05-09,May,2025
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo,Acer negundo L.,36.373177,6.602383,2025-08-14,August,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sigilla,Sigilla dorsata,"Sigilla dorsata (Fabricius, 1798)",36.064207,4.624841,2025-06-22,June,2025
Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,"Fulica atra Linnaeus, 1758",36.61341,2.782813,2025-09-26,September,2025
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,"Parus major Linnaeus, 1758",36.450257,5.942437,2025-04-15,April,2025
Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,"Porphyrio porphyrio (Linnaeus, 1758)",36.764498,3.339343,2025-09-19,September,2025
Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,"Sus scrofa Linnaeus, 1758",34.799429,-1.441406,2025-10-04,October,2025
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Reseda,Reseda phyteuma,Reseda phyteuma L.,34.703663,3.182169,2025-04-26,April,2025
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros,Tripos macroceros (Ehrenb.) F.Gómez,36.949191,7.70671,2025-08-30,August,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",36.340729,6.727255,2025-08-14,August,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta,"Egretta garzetta (Linnaeus, 1766)",35.305812,-0.093992,2025-06-12,June,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Ceratonia siliqua,Ceratonia siliqua L.,36.600482,3.577338,2025-02-15,February,2025
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia ficus-indica,Opuntia ficus-indica (L.) Mill.,36.653191,3.750046,2025-04-02,April,2025
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,"Ciconia ciconia ciconia (Linnaeus, 1758)",35.305812,-0.093992,2025-07-12,July,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola ralloides,"Ardeola ralloides (Scopoli, 1769)",35.305812,-0.093992,2025-04-24,April,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,Narcissus tazetta,Narcissus tazetta L.,36.591319,4.614758,2025-02-13,February,2025
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Agapanthia,Agapanthia asphodeli,"Agapanthia asphodeli (Latreille, 1804)",36.585854,6.711299,2025-03-20,March,2025
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Sixalix,Sixalix atropurpurea,Sixalix atropurpurea (L.) Greuter & Burdet,36.280901,4.571016,2025-05-04,May,2025
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia lentiscus,Pistacia lentiscus L.,34.692375,3.169963,2025-05-09,May,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula clypeata,"Spatula clypeata (Linnaeus, 1758)",36.131948,4.67375,2025-01-21,January,2025
Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Cisticola juncidis,"Cisticola juncidis (Rafinesque, 1810)",36.129249,5.077551,2025-05-25,May,2025
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbicum,"Delichon urbicum (Linnaeus, 1758)",35.305812,-0.093992,2025-07-01,July,2025
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,Cedrus atlantica,Cedrus atlantica (Endl.) Manetti ex Carriere,36.734089,4.439002,2025-06-12,June,2025
Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Tuberaria,Tuberaria guttata,Tuberaria guttata (L.) Fourr.,36.394539,6.660618,2025-04-24,April,2025
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,Cedrus atlantica,Cedrus atlantica (Endl.) Manetti ex Carriere,36.468652,4.180622,2025-07-29,July,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya nyroca,"Aythya nyroca (Güldenstädt, 1770)",36.149283,4.646329,2025-01-21,January,2025
Animalia,Chordata,Aves,Passeriformes,Passeridae,Petronia,Petronia petronia,"Petronia petronia (Linnaeus, 1766)",36.269165,4.846564,2025-02-28,February,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus cruentatus,"Camponotus cruentatus (Latreille, 1802)",36.691509,4.488632,2025-07-02,July,2025
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia loeflingii,Lysimachia loeflingii F.J.Jiménez & M.Talavera,36.483998,4.394705,2025-05-17,May,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus chrysippus,"Danaus chrysippus (Linnaeus, 1758)",36.764798,3.339703,2025-10-04,October,2025
Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis,Convolvulus arvensis L.,34.656692,3.281654,2025-08-04,August,2025
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,Ricinus communis L.,35.675298,-1.010108,2025-08-01,August,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea eriophora,Centaurea eriophora L.,36.365736,6.752653,2025-04-25,April,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colotis,Colotis evagore,"Colotis evagore (Klug, 1829)",36.75145,5.055771,2025-01-04,January,2025
